LOT,OPER,DEVREVSTEP,TP,TTEST,TGOOD,B1,B2,B3,B4,B5,B6
M532A108,7721,8PUADVL,PSCDTJML0MCA55B3,1165,1156,,,1695,1531,272,5
M532A109,7721,8PUADVL,PSCDTJML0MCA55B3,1166,1152,,,1884,1413,156,10
M532A110,7721,8PUADVL,PSCDTJML0MCA55B3,990,982,,,1175,1690,286,
M532A111,7721,8PUADVL,PSCDTJML0MCA55B3,1203,1186,,,1074,2247,729,46
M532A112,7721,8PUADVL,PSCDTJML0MCA55B3,1144,1130,,,5155,4667,541,
M532A113,7721,8PUADVL,PSCDTJML0MCA55B3,1222,1196,,,1944,1511,188,
M532A239,7721,8PUADVL,PSCDTJML0MCA55B3,1211,1186,,,2015,1303,114,
M532A240,7721,8PUADVL,PSCDTJML0MCA55B3,1174,1145,,,1839,1429,105,
M532A241,7721,8PUADVL,PSCDTJML0MCA55B3,1175,1160,,,1799,1549,88,10
M532A242,7721,8PUADVL,PSCDTJML0MCA55B3,1193,1168,,,2681,2737,108,
M532A306,7721,8PUADVL,PSCDTJML0MCA55B3,1181,1141,,,1428,1905,229,15
M532A307,7721,8PUADVL,PSCDTJML0MCA55B3,978,957,,,1340,1446,171,9
M532A308,7721,8PUADVL,PSCDTJML0MCA55B3,1215,1192,,,2039,1281,154,10
M532A309,7721,8PUADVL,PSCDTJML0MCA55B3,1173,1154,,,1908,1306,122,5
M532A584,7721,8PUADVL,PSCDTJML0MCA55B3,1195,1178,,,2081,1252,16,
M532A585,7721,8PUADVL,PSCDTJML0MCA55B3,1232,1222,,,2262,1118,49,5
M532A586,7721,8PUADVL,PSCDTJML0MCA55B3,987,980,,,1878,831,42,
M532A587,7721,8PUADVL,PSCDTJML0MCA55B3,1210,1193,,,2234,995,45,10
M532A613,7721,8PUADVL,PSCDTJML0MCA55B3,1179,1151,,,2002,1318,51,5
M532A614,7721,8PUADVL,PSCDTJML0MCA55B3,1203,1191,,,2128,1275,59,
M532A615,7721,8PUADVL,PSCDTJML0MCA55B3,1222,1199,,,2097,1317,35,
M532A616,7721,8PUADVL,PSCDTJML0MCA55B3,1232,1216,,,1988,1570,78,5
M532A844,7721,8PUADVL,PSCDTJML0MCA55B3,1129,1112,,,1511,1845,163,10
M532A845,7721,8PUADVL,PSCDTJML0MCA55B3,1172,1148,,,1626,1755,217,
M532A846,7721,8PUADVL,PSCDTJML0MCA55B3,1141,1123,,,1769,1450,126,10
M532A847,7721,8PUADVL,PSCDTJML0MCA55B3,1219,1198,,,1936,1585,93,
M532A987,7721,8PUADVL,PSCDTJML0MCA55B3,1227,1209,,,2393,823,55,
M532A988,7721,8PUADVL,PSCDTJML0MCA55B3,1144,1138,,,2224,754,43,
M532A989,7721,8PUADVL,PSCDTJML0MCA55B3,1237,1215,,,2375,850,40,5
M532A990,7721,8PUADVL,PSCDTJML0MCA55B3,1167,1148,,,2253,796,26,32
M532B163,7721,8PUADVL,PSCDTJML0MCA55B3,1178,1161,,,1858,1475,110,
